Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
82 0.000000e+00 0.000000e+00 0.000000e+00
83 0.000000e+00 0.000000e+00 0.000000e+00
84 0.000000e+00 0.000000e+00 0.000000e+00
85 0.000000e+00 0.000000e+00 0.000000e+00
86 0.000000e+00 0.000000e+00 0.000000e+00
87 0.000000e+00 0.000000e+00 0.000000e+00
88 0.000000e+00 0.000000e+00 0.000000e+00
89 0.000000e+00 0.000000e+00 0.000000e+00
90 0.000000e+00 0.000000e+00 0.000000e+00

time = 2.67864e-18
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 2.9011e-38
Yh_nse = 6.19673e-13
0 6.700000e-01 6.690374e-01 6.690374e-01
1 3.300000e-01 3.290668e-01 3.290668e-01
2 1.378039e-16 4.666217e-04 4.666217e-04
3 2.901104e-38 2.374052e-13 1.111454e-38
4 1.504867e-48 3.822653e-13 1.789641e-38
5 1.107365e-65 1.095487e-18 5.128711e-44
6 2.251146e-85 8.831811e-19 4.134765e-44
7 0.000000e+00 2.583321e-23 1.209427e-48
8 0.000000e+00 1.572067e-24 7.359904e-50
9 0.000000e+00 2.193799e-29 1.027065e-54
10 0.000000e+00 2.811670e-31 1.316332e-56
11 0.000000e+00 8.336407e-35 3.902833e-60
12 0.000000e+00 6.160571e-36 2.884178e-61
13 0.000000e+00 2.789751e-39 1.306070e-64
14 0.000000e+00 1.895788e-40 8.875461e-66
15 0.000000e+00 4.542393e-44 2.126600e-69
16 0.000000e+00 2.232405e-46 1.045139e-71
17 0.000000e+00 7.669627e-50 3.590669e-75
18 0.000000e+00 2.095567e-52 9.810759e-78
19 0.000000e+00 7.492750e-56 3.507861e-81
20 0.000000e+00 1.868842e-58 8.749307e-84
21 0.000000e+00 4.988211e-62 2.335318e-87
22 0.000000e+00 1.885219e-64 8.825980e-90
23 0.000000e+00 3.205751e-67 1.500828e-92
